RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+9.68215305996709e-03 +2.90066670000446e+22 +1.76991853058405e+24 +1.71366221167868e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06835368251295e+21 +7.28420502723622e+22 +2.46196068651107e-02 +1.63887017954848e-02 +1.64130712434071e-02 
+9.95396230998423e-03 +2.90070446564894e+22 +1.76991885624745e+24 +1.76177055868175e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06838108222917e+21 +7.28430163138232e+22 +2.46199251802136e-02 +1.63889121549841e-02 +1.64132834534757e-02 
+1.02334021219164e-02 +2.90074437375181e+22 +1.76991920044193e+24 +1.81122949014231e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06841003690213e+21 +7.28440371604356e+22 +2.46202615531865e-02 +1.63891344476489e-02 +1.64135077021244e-02 
+1.05206867102362e-02 +2.90078654539137e+22 +1.76991956422132e+24 +1.86207692374903e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06844063447399e+21 +7.28451159095925e+22 +2.46206170045167e-02 +1.63893693477962e-02 +1.64137446696778e-02 
+1.08160363031071e-02 +2.90083110843609e+22 +1.76991994869922e+24 +1.91435184187243e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06847296782619e+21 +7.28462558324079e+22 +2.46209926119176e-02 +1.63896175675516e-02 +1.64139950746117e-02 
+1.11196773112070e-02 +2.90087819791577e+22 +1.76992035505254e+24 +1.96809432147211e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06850713505091e+21 +7.28474603832161e+22 +2.46213895134565e-02 +1.63898798589141e-02 +1.64142596756377e-02 
+1.14318425012915e-02 +2.90092795641778e+22 +1.76992078452494e+24 +2.02334556484514e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06854323973997e+21 +7.28487332097112e+22 +2.46218089108935e-02 +1.63901570159617e-02 +1.64145392739290e-02 
+1.17527711746295e-02 +2.90098053450179e+22 +1.76992123843067e+24 +2.08014793123925e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06858139128782e+21 +7.28500781635598e+22 +2.46222520731761e-02 +1.63904498771594e-02 +1.64148347154507e-02 
+1.20827093504478e-02 +2.90103609113580e+22 +1.76992171815861e+24 +2.13854496935556e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06862170521042e+21 +7.28514993115616e+22 +2.46227203401137e-02 +1.63907593277853e-02 +1.64151468934091e-02 
+1.24219099545262e-02 +2.90109479415657e+22 +1.76992222517638e+24 +2.19858145076556e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06866430348153e+21 +7.28530009474306e+22 +2.46232151262566e-02 +1.63910863024926e-02 +1.64154767508378e-02 
